epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,16364.6,1.28354,1.81833,1.7519,0.52359,0.43454,0.4239,0.2827,1.47185,2.19263,2.05225,0.000374074,0.000374074,0.000374074
69,16599.1,1.25597,1.78331,1.72601,0.3508,0.45771,0.39424,0.25634,1.49962,2.24325,2.05839,0.000363075,0.000363075,0.000363075
70,16833.5,1.25356,1.76696,1.71873,0.54771,0.40504,0.4478,0.28578,1.51416,2.13586,2.1184,0.000352076,0.000352076,0.000352076
71,17067.6,1.22708,1.76317,1.70373,0.56576,0.44657,0.45412,0.30823,1.49298,2.07787,2.07575,0.000341077,0.000341077,0.000341077
72,17307.5,1.22713,1.73687,1.70175,0.53979,0.39001,0.41154,0.28809,1.50399,2.20495,2.07847,0.000330078,0.000330078,0.000330078
73,17543.1,1.24545,1.74692,1.72753,0.51891,0.45237,0.44321,0.29787,1.47999,2.20432,2.06988,0.000319079,0.000319079,0.000319079
74,17777.2,1.23182,1.72865,1.70942,0.57238,0.42582,0.4503,0.31432,1.43273,2.09742,2.00949,0.00030808,0.00030808,0.00030808
75,18012.7,1.23767,1.72778,1.69197,0.41324,0.42953,0.38228,0.2681,1.46466,2.18985,2.05413,0.000297081,0.000297081,0.000297081
76,18247.7,1.24192,1.71467,1.70904,0.61163,0.42138,0.4725,0.32629,1.44761,2.13847,2.02214,0.000286083,0.000286083,0.000286083
77,18483.2,1.21643,1.68519,1.68933,0.41449,0.45804,0.42334,0.29601,1.43888,2.12917,2.01682,0.000275084,0.000275084,0.000275084
78,18717.4,1.20217,1.6682,1.68109,0.58991,0.46211,0.4945,0.33944,1.45653,2.03779,2.00604,0.000264085,0.000264085,0.000264085
79,18952,1.22967,1.66508,1.68835,0.63842,0.45568,0.45625,0.31571,1.46367,2.0938,2.05062,0.000253086,0.000253086,0.000253086
80,19186.6,1.17208,1.63083,1.65596,0.5404,0.4709,0.4741,0.33004,1.504,2.05423,2.05516,0.000242087,0.000242087,0.000242087
81,19422.4,1.17815,1.60197,1.64505,0.55482,0.44087,0.454,0.32277,1.45642,2.05562,2.03705,0.000231088,0.000231088,0.000231088
82,19657.2,1.15917,1.59319,1.64674,0.60588,0.48243,0.48257,0.33184,1.47057,2.02808,2.04214,0.000220089,0.000220089,0.000220089
83,19891.9,1.18486,1.6275,1.66728,0.71801,0.41833,0.48881,0.35095,1.43773,2.03143,1.99989,0.00020909,0.00020909,0.00020909
84,20127.1,1.1936,1.58831,1.64477,0.61885,0.44188,0.46887,0.31884,1.4424,2.06834,2.00224,0.000198091,0.000198091,0.000198091
85,20361.6,1.14642,1.5694,1.62231,0.53966,0.50326,0.5012,0.34138,1.46226,2.03424,2.04179,0.000187092,0.000187092,0.000187092
86,20597.1,1.17067,1.59141,1.65315,0.57482,0.49449,0.47794,0.33897,1.43758,2.04558,2.013,0.000176094,0.000176094,0.000176094
87,20831.6,1.13104,1.56336,1.60509,0.5459,0.49096,0.48471,0.34294,1.42705,1.99305,2.00356,0.000165095,0.000165095,0.000165095
88,21066.3,1.14045,1.55293,1.61945,0.58765,0.46211,0.48104,0.3374,1.4425,1.99553,2.00446,0.000154096,0.000154096,0.000154096
89,21301,1.1281,1.55754,1.60655,0.71245,0.41146,0.47799,0.33612,1.45573,2.05354,2.02337,0.000143097,0.000143097,0.000143097
90,21535.8,1.13125,1.53475,1.60513,0.56409,0.45603,0.46384,0.34142,1.44748,2.07501,2.0157,0.000132098,0.000132098,0.000132098
91,21768.8,1.00452,1.33987,1.53355,0.54772,0.48082,0.47078,0.33562,1.46572,2.10343,2.03403,0.000121099,0.000121099,0.000121099
92,22000.9,0.98546,1.26669,1.52113,0.58173,0.47995,0.47983,0.34715,1.4388,2.02261,1.99982,0.0001101,0.0001101,0.0001101
93,22233.7,0.96917,1.23327,1.50616,0.63139,0.45353,0.47472,0.33868,1.40852,2.00013,1.9715,9.91012e-05,9.91012e-05,9.91012e-05
94,22465.7,0.95872,1.2058,1.48022,0.57421,0.46905,0.47566,0.34008,1.39925,2.00192,1.94242,8.81023e-05,8.81023e-05,8.81023e-05
95,22699.6,0.95839,1.20277,1.4864,0.62805,0.48467,0.49406,0.34893,1.4047,1.97562,1.95513,7.71034e-05,7.71034e-05,7.71034e-05
96,22932.5,0.94929,1.15366,1.48579,0.62623,0.4645,0.49605,0.35136,1.39595,1.97648,1.94542,6.61045e-05,6.61045e-05,6.61045e-05
97,23167.6,0.92996,1.15966,1.46492,0.62868,0.44076,0.49947,0.35766,1.40125,1.95402,1.95615,5.51056e-05,5.51056e-05,5.51056e-05
98,23400.3,0.93912,1.17133,1.46734,0.67659,0.44392,0.48611,0.34779,1.40591,1.97672,1.95975,4.41067e-05,4.41067e-05,4.41067e-05
99,23631.4,0.93051,1.15093,1.46642,0.56494,0.51778,0.49307,0.3564,1.40696,1.96816,1.96104,3.31078e-05,3.31078e-05,3.31078e-05
100,23862.9,0.93121,1.14491,1.45968,0.60771,0.48095,0.49289,0.35288,1.39616,1.95858,1.94898,2.21089e-05,2.21089e-05,2.21089e-05
